,velocity_threshold,interpolation_radius,max_gap,min_duration,splits,missing,overlaps,pid,tid
155,50,80,80,60,0.5334608030592735,0.08795411089866156,0.37858508604206503,p80,t3
156,50,80,80,60,0.04938271604938271,0.04938271604938271,0.9012345679012346,p81,t1
157,50,80,80,60,0.5278884462151394,0.06772908366533864,0.4043824701195219,p82,t3
158,50,80,80,60,0.5263157894736842,0.03759398496240601,0.43609022556390975,p83,t1
159,50,80,80,60,0.547945205479452,0.017123287671232876,0.4349315068493151,p83,t2
160,50,80,80,60,0.5625,0.09782608695652174,0.33967391304347827,p83,t3
161,50,80,80,60,0.5247524752475248,0.349009900990099,0.12623762376237624,p84,t1
162,50,80,80,60,0.511166253101737,0.19851116625310175,0.2903225806451613,p84,t2
163,50,80,80,60,0.38524590163934425,0.38524590163934425,0.22950819672131148,p84,t3
164,50,80,80,60,0.2925170068027211,0.6122448979591837,0.09523809523809523,p85,t1
165,50,80,80,60,0.19577735124760076,0.7907869481765835,0.013435700575815739,p85,t2
166,50,80,80,60,0.24277456647398843,0.7341040462427746,0.023121387283236993,p85,t3
167,50,80,80,60,0.47692307692307695,0.2733727810650888,0.24970414201183433,p86,t1
168,50,80,80,60,0.4132791327913279,0.4695121951219512,0.11720867208672087,p86,t2
169,50,80,80,60,0.43853820598006643,0.46179401993355484,0.09966777408637874,p86,t3
170,50,80,80,60,0.40718105423987777,0.4400305576776165,0.15278838808250572,p86,t4
171,50,80,80,60,0.027496382054992764,0.9696092619392185,0.002894356005788712,p87,t1
172,50,80,80,60,0.015267175572519083,0.9847328244274809,0.0,p87,t2
173,50,80,80,60,0.04695652173913043,0.9426086956521739,0.010434782608695653,p87,t3
174,50,80,80,60,0.16290726817042606,0.7994987468671679,0.03759398496240601,p87,t4
175,50,80,80,60,0.0288135593220339,0.9677966101694915,0.003389830508474576,p87,t5
176,50,80,80,60,0.4182242990654206,0.48130841121495327,0.10046728971962617,p88,t1
177,50,80,80,60,0.2648171500630517,0.6406052963430012,0.09457755359394704,p88,t2
178,50,80,80,60,0.09907120743034056,0.8730650154798761,0.02786377708978328,p88,t3
179,50,80,80,60,0.29577464788732394,0.5985915492957746,0.1056338028169014,p88,t4
180,50,80,80,60,0.45708582834331335,0.3253493013972056,0.21756487025948104,p89,t1
181,50,80,80,60,0.4026666666666667,0.5013333333333333,0.096,p89,t2
182,50,80,80,60,0.47761194029850745,0.28900949796472186,0.23337856173677068,p89,t3
183,50,80,80,60,0.43543543543543545,0.3843843843843844,0.18018018018018017,p89,t4
184,50,80,80,60,0.4555084745762712,0.20127118644067796,0.3432203389830508,p90,t1
185,50,80,80,60,0.4611872146118721,0.1095890410958904,0.4292237442922374,p90,t3
186,50,80,80,60,0.501010101010101,0.25656565656565655,0.24242424242424243,p90,t4
187,50,80,80,60,0.4098360655737705,0.5163934426229508,0.07377049180327869,p91,t1
188,50,80,80,60,0.35019455252918286,0.5136186770428015,0.13618677042801555,p91,t2
189,50,80,80,60,0.05660377358490566,0.9056603773584906,0.03773584905660377,p91,t3
190,50,80,80,60,0.20634920634920634,0.7142857142857143,0.07936507936507936,p91,t4
191,50,80,80,60,0.5671641791044776,0.16417910447761194,0.26865671641791045,p92,t1
192,50,80,80,60,0.5076495132127955,0.20027816411682892,0.29207232267037553,p92,t2
193,50,80,80,60,0.5791245791245792,0.21885521885521886,0.20202020202020202,p92,t3
194,50,80,80,60,0.5892857142857143,0.16071428571428573,0.25,p92,t4
195,50,80,80,60,0.6090651558073654,0.0764872521246459,0.31444759206798867,p93,t1
196,50,80,80,60,0.47959183673469385,0.15306122448979592,0.3673469387755102,p93,t2
197,50,80,80,60,0.3381294964028777,0.5323741007194245,0.12949640287769784,p93,t3
198,50,80,80,60,0.477124183006536,0.16993464052287582,0.35294117647058826,p93,t4
199,50,80,80,60,0.5062305295950156,0.1822429906542056,0.3115264797507788,p94,t1
200,50,80,80,60,0.4916030534351145,0.11603053435114503,0.39236641221374047,p94,t2
201,50,80,80,60,0.470404984423676,0.1921079958463136,0.3374870197300104,p94,t3
202,50,80,80,60,0.5287356321839081,0.21839080459770116,0.25287356321839083,p94,t4
203,50,80,80,60,0.23348017621145375,0.7268722466960352,0.039647577092511016,p95,t1
