type,pid,tid,splits,missing,overlaps,sequence_diff
old_vs_fixed,p106,t3,0.0,0.007246376811594203,0.9927536231884058,0.7892857142857143
old_vs_fixed,p32,t2,0.005159071367153913,0.0025795356835769563,0.9922613929492692,0.7896995708154506
old_vs_fixed,p70,t2,0.00228310502283105,0.0015220700152207,0.9961948249619482,0.7908201655379985
old_vs_fixed,p13,t2,0.008556149732620321,0.011764705882352941,0.9796791443850268,0.7909090909090909
old_vs_fixed,p78,t2,0.0029985007496251873,0.0007496251874062968,0.9962518740629686,0.7910447761194029
old_vs_fixed,p94,t2,0.021052631578947368,0.002105263157894737,0.9768421052631578,0.7916666666666666
old_vs_fixed,p88,t1,0.008849557522123894,0.008849557522123894,0.9823008849557522,0.7920353982300885
old_vs_fixed,p32,t1,0.007482993197278911,0.006122448979591836,0.9863945578231292,0.7922606924643585
old_vs_fixed,p58,t3,0.0,0.0036101083032490976,0.9963898916967509,0.7924187725631769
old_vs_fixed,p11,t2,0.001941747572815534,0.003883495145631068,0.9941747572815534,0.7924710424710425
old_vs_fixed,p26,t1,0.0082930200414651,0.0034554250172771253,0.9882515549412578,0.7931034482758621
old_vs_fixed,p44,t2,0.0,0.0037593984962406013,0.9962406015037594,0.793233082706767
old_vs_fixed,p49,t1,0.029612756264236904,0.0,0.9703872437357631,0.7934065934065934
old_vs_fixed,p106,t2,0.004524886877828055,0.013574660633484163,0.9819004524886877,0.7941176470588235
old_vs_fixed,p48,t3,0.002257336343115124,0.0,0.9977426636568849,0.795045045045045
old_vs_fixed,p50,t3,0.0,0.0,1.0,0.7951388888888888
old_vs_fixed,p43,t1,0.0029354207436399216,0.00684931506849315,0.9902152641878669,0.7954990215264188
old_vs_fixed,p57,t2,0.004728132387706856,0.004728132387706856,0.9905437352245863,0.7955082742316785
old_vs_fixed,p35,t1,0.006891798759476223,0.0013783597518952446,0.9917298414886285,0.7959533607681756
old_vs_fixed,p86,t4,0.002844950213371266,0.001422475106685633,0.9957325746799431,0.7963224893917963
old_vs_fixed,p104,t1,0.014285714285714285,0.0,0.9857142857142858,0.7972972972972973
old_vs_fixed,p32,t4,0.0,0.005128205128205128,0.9948717948717949,0.7974358974358975
old_vs_fixed,p28,t2,0.01485148514851485,0.0033003300330033004,0.9818481848184818,0.7982171799027553
old_vs_fixed,p55,t1,0.00831255195344971,0.006650041562759767,0.9850374064837906,0.7986798679867987
old_vs_fixed,p89,t2,0.0,0.0,1.0,0.7988505747126436
old_vs_fixed,p77,t2,0.006242197253433208,0.0024968789013732834,0.9912609238451935,0.8006211180124223
old_vs_fixed,p75,t3,0.005141388174807198,0.002570694087403599,0.9922879177377892,0.8014138817480719
old_vs_fixed,p48,t2,0.0,0.0,1.0,0.8015873015873016
old_vs_fixed,p14,t3,0.004140786749482402,0.002070393374741201,0.9937888198757764,0.8016194331983806
old_vs_fixed,p61,t2,0.006600660066006601,0.0049504950495049506,0.9884488448844885,0.8022875816993464
old_vs_fixed,p53,t1,0.016903914590747332,0.0035587188612099642,0.9795373665480427,0.8023457862728063
old_vs_fixed,p19,t2,0.0,0.005277044854881266,0.9947229551451188,0.8025974025974026
old_vs_fixed,p31,t4,0.0019455252918287938,0.005836575875486381,0.9922178988326849,0.8029126213592233
old_vs_fixed,p26,t3,0.005813953488372093,0.0024916943521594683,0.9916943521594684,0.8031173092698933
old_vs_fixed,p84,t2,0.013245033112582781,0.0,0.9867549668874173,0.8032258064516129
old_vs_fixed,p48,t1,0.0038363171355498722,0.0038363171355498722,0.9923273657289002,0.8042091836734694
old_vs_fixed,p89,t1,0.003134796238244514,0.0,0.9968652037617555,0.8046875
old_vs_fixed,p78,t1,0.0016501650165016502,0.0,0.9983498349834984,0.8047775947281713
old_vs_fixed,p35,t4,0.015633142261594582,0.007816571130797291,0.9765502866076081,0.805137519460301
old_vs_fixed,p69,t1,0.01783264746227709,0.01646090534979424,0.9657064471879286,0.805327868852459
old_vs_fixed,p47,t2,0.0012674271229404308,0.0025348542458808617,0.9961977186311787,0.8067173637515843
old_vs_fixed,p55,t3,0.004761904761904762,0.0019047619047619048,0.9933333333333333,0.807123034227567
old_vs_fixed,p29,t4,0.02312925170068027,0.006802721088435374,0.9700680272108844,0.8071236559139785
old_vs_fixed,p103,t4,0.025157232704402517,0.009433962264150943,0.9654088050314465,0.8072100313479624
old_vs_fixed,p92,t4,0.007462686567164179,0.0,0.9925373134328358,0.8074074074074075
old_vs_fixed,p16,t3,0.007194244604316547,0.004316546762589928,0.9884892086330935,0.8074712643678161
old_vs_fixed,p22,t1,0.018036072144288578,0.004008016032064128,0.9779559118236473,0.807502467917078
old_vs_fixed,p94,t3,0.008823529411764706,0.004411764705882353,0.986764705882353,0.8078602620087336
old_vs_fixed,p71,t2,0.006993006993006993,0.0,0.993006993006993,0.8087248322147651
old_vs_fixed,p37,t2,0.010309278350515464,0.012027491408934709,0.9776632302405498,0.8087478559176673
old_vs_fixed,p29,t3,0.038461538461538464,0.0017482517482517483,0.9597902097902098,0.8089983022071308
old_vs_fixed,p88,t2,0.0036496350364963502,0.0036496350364963502,0.9927007299270073,0.8090909090909091
old_vs_fixed,p13,t1,0.009977827050997782,0.007760532150776054,0.9822616407982262,0.8093126385809313
old_vs_fixed,p80,t3,0.02962962962962963,0.0,0.9703703703703703,0.8096385542168675
old_vs_fixed,p52,t1,0.012915129151291513,0.0,0.9870848708487084,0.8096539162112932
old_vs_fixed,p37,t3,0.029556650246305417,0.014778325123152709,0.9556650246305419,0.8104265402843602
old_vs_fixed,p58,t2,0.0010330578512396695,0.0010330578512396695,0.9979338842975206,0.8104338842975206
old_vs_fixed,p13,t4,0.015544041450777202,0.013471502590673576,0.9709844559585492,0.810880829015544
old_vs_fixed,p98,t4,0.0,0.0,1.0,0.8111111111111111
old_vs_fixed,p86,t1,0.006700167504187605,0.005025125628140704,0.9882747068676717,0.8115577889447236
old_vs_fixed,p103,t3,0.0,0.0,1.0,0.8125
old_vs_fixed,p16,t4,0.0019474196689386564,0.0019474196689386564,0.9961051606621227,0.8125
old_vs_fixed,p105,t1,0.0,0.0,1.0,0.8127490039840638
old_vs_fixed,p102,t4,0.006628787878787879,0.003787878787878788,0.9895833333333334,0.8133270321361059
old_vs_fixed,p102,t2,0.011811023622047244,0.003937007874015748,0.984251968503937,0.8137254901960784
old_vs_fixed,p45,t3,0.008361204013377926,0.0033444816053511705,0.9882943143812709,0.8137417218543046
old_vs_fixed,p25,t4,0.006593406593406593,0.002197802197802198,0.9912087912087912,0.8139029688631426
old_vs_fixed,p65,t1,0.028050490883590462,0.011220196353436185,0.9607293127629734,0.813953488372093
old_vs_fixed,p64,t1,0.0,0.0,1.0,0.8141025641025641
old_vs_fixed,p63,t3,0.02547169811320755,0.0037735849056603774,0.970754716981132,0.8141263940520446
old_vs_fixed,p75,t2,0.008,0.008,0.984,0.8143236074270557
old_vs_fixed,p76,t1,0.007856341189674524,0.003367003367003367,0.9887766554433222,0.8145251396648044
old_vs_fixed,p84,t1,0.00796812749003984,0.00398406374501992,0.9880478087649402,0.8147410358565738
old_vs_fixed,p102,t1,0.008791208791208791,0.006593406593406593,0.9846153846153847,0.8153846153846154
old_vs_fixed,p13,t3,0.010958904109589041,0.012328767123287671,0.9767123287671233,0.8157534246575342
old_vs_fixed,p92,t2,0.001976284584980237,0.0,0.9980237154150198,0.8162055335968379
old_vs_fixed,p39_test,t1,0.0,0.015625,0.984375,0.81640625
old_vs_fixed,p92,t1,0.009259259259259259,0.0,0.9907407407407407,0.8165137614678899
old_vs_fixed,p37,t1,0.025,0.0,0.975,0.8170731707317073
old_vs_fixed,p43,t4,0.0031088082901554403,0.0051813471502590676,0.9917098445595854,0.8176165803108808
old_vs_fixed,p43,t2,0.0031088082901554403,0.0051813471502590676,0.9917098445595854,0.8176165803108808
old_vs_fixed,p94,t4,0.01020408163265306,0.00510204081632653,0.9846938775510204,0.8188775510204082
old_vs_fixed,p97,t4,0.008,0.0,0.992,0.8188976377952756
old_vs_fixed,p103,t1,0.006430868167202572,0.003215434083601286,0.9903536977491961,0.8194888178913738
old_vs_fixed,p101,t4,0.004694835680751174,0.0,0.9953051643192489,0.8202764976958525
old_vs_fixed,p103,t2,0.013008130081300813,0.004878048780487805,0.9821138211382113,0.8206168831168831
old_vs_fixed,p33,t1,0.004978220286247666,0.0012445550715619166,0.9937772246421904,0.8207196029776674
old_vs_fixed,p70,t3,0.0033519553072625698,0.0022346368715083797,0.994413407821229,0.8209121245828699
old_vs_fixed,p21,t4,0.011097410604192354,0.0036991368680641184,0.9852034525277436,0.8216482164821648
